,book_title,text,numerical
2027,no pretty pictures: a child of war,anitalobel worldwarii nonfiction no pretty pictures: a child of war,1.4929999999999999
2028,"one eye laughing, the other weeping: the diary of julie weiss","barrydenenberg historical historical one eye laughing, the other weeping: the diary of julie weiss",1.4655
2029,the white hotel,d.m.thomas fiction historical the white hotel,1.4649999999999999
2030,code name verity,elizabethe.wein historical youngadult code name verity,1.6275000000000002
2031,the secret holocaust diaries: the untold story of nonna bannister,nonnabannister nonfiction history the secret holocaust diaries: the untold story of nonna bannister,1.4165
2032,the witching hour,annerice horror fantasy the witching hour,1.5815
2033,ordinary men: reserve police battalion 101 and the final solution in poland,christopherr.browning history nonfiction ordinary men: reserve police battalion 101 and the final solution in poland,1.6785
2034,fugitive pieces,annemichaels fiction historical fugitive pieces,1.48
2035,the lost wife,alysonrichman historical fiction the lost wife,1.782
2036,four perfect pebbles: a holocaust story,lilaperl worldwarii nonfiction four perfect pebbles: a holocaust story,1.469
2037,hitler's willing executioners: ordinary germans and the holocaust,danieljonahgoldhagen history nonfiction hitler's willing executioners: ordinary germans and the holocaust,1.185
2038,the cage,ruthminskysender worldwarii nonfiction the cage,1.6615
2039,the lost: a search for six of six million,danielmendelsohn nonfiction history the lost: a search for six of six million,1.7014999999999998
2040,the invisible bridge,julieorringer historical fiction the invisible bridge,1.7919999999999998
2041,a lucky child: a memoir of surviving auschwitz as a young boy,thomasbuergenthal nonfiction worldwarii a lucky child: a memoir of surviving auschwitz as a young boy,1.7115
2042,the way of kings,brandonsanderson fantasy fiction the way of kings,2.2235
2043,i know this much is true,wallylamb fiction contemporary i know this much is true,1.6775
2044,someone named eva,joanm.wolf historical worldwarii someone named eva,1.693
2045,if i should die before i wake,hannolan historical youngadult if i should die before i wake,1.558
2046,yellow star,jenniferroy historical worldwarii yellow star,1.827
2047,auschwitz,laurencerees history nonfiction auschwitz,1.876
2048,stones from the river,ursulahegi historical fiction stones from the river,1.6335000000000002
2049,the true story of hansel and gretel,louisemurphy historical fiction the true story of hansel and gretel,1.625
2050,the zookeeper's wife,dianeackerman nonfiction history the zookeeper's wife,0.9655
2051,hana's suitcase: a true story,karenlevine nonfiction worldwarii hana's suitcase: a true story,1.7479999999999998
2052,suite française,irènenémirovsky fiction historical suite française,1.3519999999999999
2053,anne frank remembered: the story of the woman who helped to hide the frank family,miepgies nonfiction history anne frank remembered: the story of the woman who helped to hide the frank family,1.9065
2054,i have lived a thousand years,liviae.bitton-jackson worldwarii nonfiction i have lived a thousand years,1.754
2055,those who save us,jennablum historical fiction those who save us,1.7125
2056,juliet's nurse,loisleveen historical fiction juliet's nurse,1.2065000000000001
2057,the secret life of violet grant,beatrizwilliams historical fiction the secret life of violet grant,1.502
2058,that summer,laurenwillig historical romance that summer,1.2505
2059,the quick,laurenowen historical fiction the quick,0.6465000000000001
2060,hunting shadows,charlestodd mystery historical hunting shadows,1.5554999999999999
2061,becoming josephine,heatherwebb historical historical becoming josephine,1.4834999999999998
2062,the devil in the marshalsea,antoniahodgson historical mystery the devil in the marshalsea,1.5310000000000001
2063,her dark curiosity,meganshepherd youngadult historical her dark curiosity,1.401
2064,somerset,leilameacham historical fiction somerset,1.646
2065,mrs. hemingway,naomiwood historical fiction mrs. hemingway,1.3445
2066,the marriage game,alisonweir historical fiction the marriage game,1.0975000000000001
2067,raiders of the nile,stevensaylor historical mystery raiders of the nile,1.4394999999999998
2068,the care and management of lies,jacquelinewinspear historical fiction the care and management of lies,1.377
2069,i am livia,phyllist.smith historical fiction i am livia,1.514
2070,city of jasmine,deannaraybourn historical romance city of jasmine,1.3355
2071,the mirk and midnight hour,janenickerson historical youngadult the mirk and midnight hour,0.9864999999999999
2072,the miniaturist,jessieburton historical fiction the miniaturist,1.1155
2073,the butterfly and the violin,kristycambron historical christianfiction the butterfly and the violin,1.6445000000000003
2074,the winter people,jennifermcmahon horror mystery the winter people,1.2435
2075,i shall be near to you,erinlindsaymccabe historical fiction i shall be near to you,1.319
2076,the dead in their vaulted arches,alanbradley mystery fiction the dead in their vaulted arches,1.6595
2077,the tiger queens: the women of genghis khan,stephaniethornton historical historical the tiger queens: the women of genghis khan,1.8005
2078,lamentation,c.j.sansom historical mystery lamentation,1.9345
2079,the midnight rose,lucindariley historical romance the midnight rose,1.8639999999999999
2080,flight of the sparrow,amybeldingbrown historical fiction flight of the sparrow,1.492
2081,silence for the dead,simonest.james historical mystery silence for the dead,1.5065
2082,why kings confess,c.s.harris mystery historical why kings confess,1.826
2083,i always loved you,robinoliveira historical fiction i always loved you,1.22
2084,sisters of treason,elizabethfremantle historical historical sisters of treason,1.3325
2085,my name is resolute,nancye.turner historical fiction my name is resolute,1.8024999999999998
2086,the fortune hunter,daisygoodwin historical romance the fortune hunter,1.0154999999999998
2087,for such a time,katebreslin historical christianfiction for such a time,1.4554999999999998
2088,china dolls,lisasee historical fiction china dolls,1.3025
2089,the lost sisterhood,annefortier historical fiction the lost sisterhood,1.4224999999999999
2090,"the wife, the maid, and the mistress","ariellawhon historical mystery the wife, the maid, and the mistress",1.2309999999999999
2091,the winter siege,arianafranklin historical historical the winter siege,1.492
2092,the boleyn reckoning,lauraandersen historical fiction the boleyn reckoning,1.5410000000000001
2093,the traitor's wife,allisonpataki historical fiction the traitor's wife,1.3860000000000001
2094,the daring ladies of lowell,katealcott historical fiction the daring ladies of lowell,1.0305
2095,frog music,emmadonoghue historical fiction frog music,0.995
2096,the winter crown,elizabethchadwick historical historical the winter crown,1.7835
2097,mrs. lincoln's rival,jenniferchiaverini historical fiction mrs. lincoln's rival,1.0845
2098,the swan gondola,timothyschaffert historical fiction the swan gondola,0.9220000000000002
2099,the museum of extraordinary things,alicehoffman historical fiction the museum of extraordinary things,1.291
2100,butterfly palace,colleencoble historical christianfiction butterfly palace,1.3780000000000001
2101,the lion and the rose,katequinn historical historical the lion and the rose,1.8185
2102,the shadow queen,sandragulland historical fiction the shadow queen,1.379
2103,fallen beauty,erikarobuck historical historical fallen beauty,1.2995
2104,the invention of wings,suemonkkidd historical fiction the invention of wings,1.7325
2105,the king's curse,philippagregory historical fiction the king's curse,1.5265
2106,a king's ransom,sharonkaypenman historical fiction a king's ransom,1.9175
2107,a burnable book,bruceholsinger historical mystery a burnable book,1.024
2108,the collector of dying breaths,m.j.rose historical mystery the collector of dying breaths,1.229
2109,rock chick renegade,kristenashley romance romance rock chick renegade,2.043
2110,release me,j.kenner romance adultfiction release me,1.7405
2111,poughkeepsie,debraanastasia romance romance poughkeepsie,1.4954999999999998
2112,wicked ties,shaylablack adultfiction romance wicked ties,1.5895000000000001
2113,archer's voice,miasheridan romance newadult archer's voice,1.9945
2114,dirty,meganhart romance contemporary dirty,1.296
2115,dominic,l.a.casey romance newadult dominic,1.705
2116,revealing us,lisareneejones romance erotica revealing us,1.6844999999999999
2117,beyond eden,kelemoon erotica adultfiction beyond eden,1.4409999999999998
2118,texas pride,kindlealexander romance westerns texas pride,1.7149999999999999
2119,indulge,angelagraham romance newadult indulge,1.6225
2120,blyssfully undone,j.c.cliff dark romance blyssfully undone,1.6375000000000002
2121,throttle me,chellebliss romance adultfiction throttle me,1.727
2122,changing the game,jaciburton romance sportsandgames changing the game,1.6504999999999999
2123,entangled,s.e.hall newadult romance entangled,1.837
2124,the beast,jadenwilkes dark erotica the beast,1.181
2125,emma's home,maryannjordan romance romance emma's home,1.8365
2126,all in,rainemiller romance adultfiction all in,1.687
2127,night owl,m.pierce romance adultfiction night owl,1.5895000000000001
2128,jet,jaycrownover newadult romance jet,1.7149999999999999
2129,grounded,r.k.lilley romance erotica grounded,1.8735
2130,lover enshrined,j.r.ward romance fantasy lover enshrined,1.8304999999999998
2131,reaching rachel,l.l.collins romance newadult reaching rachel,1.8795
2132,the wager,rachelvandyken romance newadult the wager,1.737
2133,nobody's angel,kallypsomasters erotica adultfiction nobody's angel,1.8125
2134,play,kyliescott romance newadult play,1.8530000000000002
2135,perfection,r.l.mathewson romance romance perfection,1.7505000000000002
2136,halfway to the grave,jeanienefrost fantasy paranormal halfway to the grave,1.8125
2137,a hunger like no other,kresleycole romance fantasy a hunger like no other,1.8719999999999999
2138,making faces,amyharmon romance contemporary making faces,1.9745
2139,rock hard,oliviacunning romance adultfiction rock hard,1.6945
2140,back-up,a.m.madden romance music back-up,1.705
2141,falling into you,jasindawilder romance youngadult falling into you,1.5750000000000002
2142,the nightmare garden,caitlinkittredge sciencefiction fantasy the nightmare garden,1.202
2143,the way we fall,megancrewe youngadult sciencefiction the way we fall,1.197
2144,the storyteller,antoniamichaelis youngadult contemporary the storyteller,1.6285000000000003
2145,a want so wicked,suzanneyoung youngadult fantasy a want so wicked,1.581
2146,legend,marielu youngadult romance legend,1.8075
2147,stolen nights,rebeccamaizel paranormal youngadult stolen nights,1.49
2148,arise,tarahudson fantasy youngadult arise,1.407
2149,"gone, gone, gone","hannahmoskowitz youngadult lgbt gone, gone, gone",1.3275000000000001
2150,grave mercy,robinlafevers fantasy youngadult grave mercy,1.5175
2151,angels' flight,nalinisingh romance fantasy angels' flight,1.9005
2152,charmfall,chloeneill youngadult fantasy charmfall,1.4940000000000002
2153,the fine art of truth or dare,melissajensen youngadult romance the fine art of truth or dare,0.75
2154,enchanted,aletheakontis fantasy youngadult enchanted,1.331
2155,the story of us,debcaletti youngadult romance the story of us,1.185
2156,dead to you,lisamcmann youngadult mystery dead to you,1.338
2157,switched,amandahocking fantasy youngadult switched,1.464
2158,article 5,kristensimmons sciencefiction youngadult article 5,1.3335
2159,the unquiet,jeanninegarsee youngadult fantasy the unquiet,1.3945
2160,exiled,rashelleworkman youngadult fantasy exiled,1.2225000000000001
2161,dreamless,josephineangelini fantasy youngadult dreamless,1.77
2162,sweet evil,wendyhiggins youngadult fantasy sweet evil,1.7514999999999998
2163,until i die,amyplum youngadult fantasy until i die,1.7055
2164,a temptation of angels,michellezink paranormal youngadult a temptation of angels,1.1484999999999999
2165,the statistical probability of love at first sight,jennifere.smith youngadult romance the statistical probability of love at first sight,1.2850000000000001
2166,arcadia awakens,kaimeyer fantasy youngadult arcadia awakens,1.3445
2167,goddess interrupted,aimeecarter fantasy youngadult goddess interrupted,1.5385
2168,wings of the wicked,courtneyallisonmoulton paranormal youngadult wings of the wicked,1.7665
2169,girl of nightmares,kendareblake youngadult horror girl of nightmares,1.4579999999999997
2170,tiger's voyage,colleenhouck fantasy youngadult tiger's voyage,1.9235
2171,pure,juliannabaggott youngadult romance pure,1.2810000000000001
2172,the fault in our stars,johngreen youngadult fiction the fault in our stars,1.774
2173,born wicked,jessicaspotswood fantasy youngadult born wicked,1.4699999999999998
2174,of poseidon,annabanks fantasy youngadult of poseidon,1.569
2175,orphan train,christinabakerkline historical fiction orphan train,1.7275
2176,exit the actress,priyaparmar historical historical exit the actress,1.335
2177,cinder,marissameyer youngadult fantasy cinder,1.81
2178,under the never sky,veronicarossi youngadult sciencefiction under the never sky,1.6099999999999999
2179,hallowed,cynthiahand youngadult paranormal hallowed,1.7005
2180,fever,laurendestefano sciencefiction youngadult fever,1.3130000000000002
2181,the pale horseman,bernardcornwell historical fiction the pale horseman,1.8810000000000002
2182,everneath,brodiashton youngadult fantasy everneath,1.3555000000000001
2183,a million suns,bethrevis youngadult sciencefiction a million suns,1.5290000000000001
2184,incarnate,jodimeadows fantasy youngadult incarnate,1.365
2185,someone knows my name,lawrencehill historical fiction someone knows my name,2.065
2186,the kitchen boy: a novel of the last tsar,robertalexander historical fiction the kitchen boy: a novel of the last tsar,1.3935
2187,the widow of the south,roberthicks historical fiction the widow of the south,1.2605
2188,and the mountains echoed,khaledhosseini fiction historical and the mountains echoed,1.7670000000000001
2189,half broke horses,jeannettewalls autobiography nonfiction half broke horses,1.7295000000000003
2190,bring up the bodies,hilarymantel historical fiction bring up the bodies,1.7145000000000001
2191,the heretic queen,michellemoran historical historical the heretic queen,1.7555
2192,a thread of grace,marydoriarussell historical fiction a thread of grace,1.6285
2193,cane river,lalitatademy historical fiction cane river,1.6310000000000002
2194,the storyteller,jodipicoult fiction historical the storyteller,1.7375
2195,march,geraldinebrooks historical fiction march,1.3725
2196,"lamb: the gospel according to biff, christ's childhood pal","christophermoore humor fiction lamb: the gospel according to biff, christ's childhood pal",1.724
2197,the 19th wife,davidebershoff historical historical the 19th wife,1.141
2198,the nightingale,kristinhannah historical fiction the nightingale,2.092
2199,the shadow of the wind,carlosruizzafón fiction historical the shadow of the wind,1.815
2200,the secret magdalene,kilongfellow historical fiction the secret magdalene,1.8014999999999999
2201,gently falls the bakula,sudhamurty fiction contemporary gently falls the bakula,1.4589999999999999
2202,difficult daughters,manjukapur fiction cultural difficult daughters,0.9864999999999999
2203,two lives,vikramseth nonfiction biography two lives,1.3559999999999999
2204,em and the big hoom,jerrypinto fiction cultural em and the big hoom,1.63
2205,chanakya's chant,ashwinsanghi fiction historical chanakya's chant,1.1305
2206,hullabaloo in the guava orchard,kirandesai fiction cultural hullabaloo in the guava orchard,0.8805000000000001
2207,"the last mughal: the fall of a dynasty: delhi, 1857","williamdalrymple history cultural the last mughal: the fall of a dynasty: delhi, 1857",1.7005
2208,the zoya factor,anujachauhan romance womensfiction the zoya factor,1.1179999999999999
2209,the oath of the vayuputras,amishtripathi fiction fantasy the oath of the vayuputras,1.359
2210,the twentieth wife,indusundaresan historical fiction the twentieth wife,1.586
2211,brick lane,monicaali fiction cultural brick lane,0.9895
2212,the inscrutable americans,anuragmathur fiction cultural the inscrutable americans,0.6659999999999999
2213,the death of vishnu,manilsuri fiction cultural the death of vishnu,1.073
2214,such a long journey,rohintonmistry fiction cultural such a long journey,1.7025000000000001
2215,"the argumentative indian: writings on indian history, culture and identity","amartyasen nonfiction cultural the argumentative indian: writings on indian history, culture and identity",1.4285
2216,the space between us,thrityumrigar fiction cultural the space between us,1.536
2217,sacred games,vikramchandra fiction cultural sacred games,1.44
2218,"english, august: an indian story","upamanyuchatterjee fiction cultural english, august: an indian story",1.2495
2219,the ghost wore yellow socks,joshlanyon romance mystery the ghost wore yellow socks,1.5979999999999999
2220,the magpie lord,k.j.charles fantasy romance the magpie lord,1.7344999999999997
2221,eleanor & park,rainbowrowell youngadult romance eleanor & park,1.653
2222,the last song,nicholassparks romance fiction the last song,1.714
2223,"yu yu hakusho, volume 1: goodbye, material world!","yoshihirotogashi sequentialart fantasy yu yu hakusho, volume 1: goodbye, material world!",1.9829999999999999
2224,reckless magic,rachelhigginson fantasy youngadult reckless magic,1.7
2225,dirty blood,heatherhildenbrand fantasy youngadult dirty blood,1.448
2226,devour,shellycrane fantasy youngadult devour,1.5265
2227,a whisper to a scream,laurenhammond dark youngadult a whisper to a scream,1.1875
2228,the soulkeepers,g.p.ching fantasy youngadult the soulkeepers,1.3625
2229,devotion,kristiecook fantasy newadult devotion,1.9175
2230,the royal dragoneers,m.r.mathias fantasy fantasy the royal dragoneers,1.343
2231,the line of illeniel,michaelg.manning fantasy fantasy the line of illeniel,1.7135000000000002
2232,gray justice,alanmcdermott thriller mystery gray justice,1.4745000000000001
2233,just one drop,quinnloftis shapeshifters fantasy just one drop,2.0905
2234,zeroboxer,fondalee sciencefiction youngadult zeroboxer,1.3285
2235,this monstrous thing,mackenzilee youngadult sciencefiction this monstrous thing,1.555
2236,fans of the impossible life,katescelsa youngadult lgbt fans of the impossible life,1.2605
2237,proof of forever,lexahillyer youngadult contemporary proof of forever,1.073
2238,scarlett undercover,jenniferlatham mystery youngadult scarlett undercover,1.2865
2239,forget tomorrow,pintipdunn youngadult sciencefiction forget tomorrow,1.3565
2240,the next together,laurenjames youngadult romance the next together,1.2395
2241,the invisible library,genevievecogman fantasy fiction the invisible library,1.354
2242,finding audrey,sophiekinsella youngadult contemporary finding audrey,1.2985000000000002
2243,air awakens,elisekova fantasy youngadult air awakens,1.6455000000000002
2244,because you'll never meet me,leahthomas youngadult contemporary because you'll never meet me,1.6005
2245,last year's mistake,ginaciocca youngadult contemporary last year's mistake,1.247
2246,court of fives,kateelliott fantasy youngadult court of fives,1.2895
2247,denton little's deathdate,lancerubin death youngadult denton little's deathdate,1.38
2248,tiny pretty things,sonacharaipotra youngadult contemporary tiny pretty things,1.3285
2249,the wrong side of right,jennmariethorne contemporary youngadult the wrong side of right,1.5225
2250,the institute,kaylahowarth youngadult sciencefiction the institute,1.6429999999999998
2251,the sacred lies of minnow bly,stephanieoakes youngadult contemporary the sacred lies of minnow bly,1.5579999999999998
2252,mosquitoland,davidarnold youngadult contemporary mosquitoland,1.4699999999999998
2253,the night we said yes,laurengibaldi youngadult contemporary the night we said yes,1.0865
2254,the sin eater's daughter,melindasalisbury fantasy youngadult the sin eater's daughter,1.03
2255,"everything, everything","nicolayoon youngadult contemporary everything, everything",1.6675000000000002
2256,the forever girl,rebeccahamilton fantasy fantasy the forever girl,1.2759999999999998
2257,more happy than not,adamsilvera youngadult lgbt more happy than not,1.6615000000000002
2258,we all looked up,tommywallach youngadult contemporary we all looked up,1.1275
2259,simon vs. the homo sapiens agenda,beckyalbertalli youngadult contemporary simon vs. the homo sapiens agenda,1.9175
2260,cowboy heat,sablehunter romance adultfiction cowboy heat,1.7
2261,brie's first day of submissive training,redphoenix erotica adultfiction brie's first day of submissive training,1.878
2262,"guns, germs, and steel: the fates of human societies","jareddiamond history nonfiction guns, germs, and steel: the fates of human societies",1.5835
2263,never look back,loril.otto romance romance never look back,1.9405000000000001
2264,lichgates,s.m.boyce fantasy youngadult lichgates,1.6135
2265,crush,laceyweatherford romance youngadult crush,1.5554999999999999
2266,sins & needles,karinahalle romance newadult sins & needles,1.5845
2267,seduced by innocence,alexlux fantasy romance seduced by innocence,1.291
2268,love in the time of cholera,gabrielgarcíamárquez fiction classics love in the time of cholera,1.4869999999999999
2269,the fourth bear,jasperfforde fantasy mystery the fourth bear,1.6335
2270,a portrait of emily price,katherinereay fiction romance a portrait of emily price,1.3375000000000001
2271,booked to die,johndunning mystery fiction booked to die,1.463
2272,the storied life of a.j. fikry,gabriellezevin fiction contemporary the storied life of a.j. fikry,1.519
2273,the city of dreaming books,waltermoers fantasy fiction the city of dreaming books,1.903
2274,the undead next door,kerrelynsparks romance fantasy the undead next door,1.7810000000000001
2275,single white vampire,lynsaysands romance paranormal single white vampire,1.7565
2276,the harlequin,laurellk.hamilton fantasy paranormal the harlequin,1.5114999999999998
2277,the darkest kiss,genashowalter romance fantasy the darkest kiss,1.837
2278,dark side of the moon,sherrilynkenyon romance fantasy dark side of the moon,1.805
2279,veil of midnight,laraadrian romance fantasy veil of midnight,1.843
2280,from dead to worse,charlaineharris fantasy paranormal from dead to worse,1.5495
2281,knight's mistress,c.c.gibbs romance adultfiction knight's mistress,1.5065
2282,satisfaction,k.m.golland romance adultfiction satisfaction,1.9089999999999998
2283,fated,s.h.kolee romance romance fated,1.6225
2284,forever with you,laurelinpaige romance adultfiction forever with you,1.8955
2285,paradise,judithmcnaught romance romance paradise,1.8775
2286,fever,mayabanks romance adultfiction fever,1.5885
2287,just the sexiest man alive,juliejames romance romance just the sexiest man alive,1.525
2288,"demon diary, volume 01","kara sequentialart fantasy demon diary, volume 01",1.582
2289,"imadoki! nowadays, vol. 1","yuuwatase sequentialart romance imadoki! nowadays, vol. 1",1.5955
2290,"oh my goddess!, volume 1","kosukefujishima sequentialart fantasy oh my goddess!, volume 1",1.3845
2291,"blood+, vol. 01","asukakatsura sequentialart paranormal blood+, vol. 01",1.7115
2292,"after school nightmare, volume 1","setonamizushiro sequentialart fantasy after school nightmare, volume 1",1.4845
2293,"saiyuki, vol. 1","kazuyaminekura sequentialart fantasy saiyuki, vol. 1",1.81
2294,"a bride's story, vol. 1","kaorumori sequentialart sequentialart a bride's story, vol. 1",1.8235
2295,"millennium snow, vol. 1","biscohatori sequentialart romance millennium snow, vol. 1",1.84
2296,"w juliet, vol. 1","emura sequentialart romance w juliet, vol. 1",1.7624999999999997
2297,"deadman wonderland, vol. 1","jinseikataoka sequentialart horror deadman wonderland, vol. 1",1.8295
2298,"marmalade boy, vol. 1","wataruyoshizumi sequentialart romance marmalade boy, vol. 1",1.548
2299,"the melancholy of haruhi suzumiya, vol. 1","nagarutanigawa sequentialart fantasy the melancholy of haruhi suzumiya, vol. 1",1.4929999999999999
2300,"basara, vol. 1","yumitamura sequentialart fantasy basara, vol. 1",1.838
2301,"20th century boys, band 01","naokiurasawa sequentialart sequentialart 20th century boys, band 01",2.0465
2302,"from far away, vol. 01","kyokohikawa sequentialart fantasy from far away, vol. 01",1.9795
2303,"kingdom hearts, vol. 1","shiroamano sequentialart fantasy kingdom hearts, vol. 1",1.7465
2304,"alice in the country of hearts, vol. 01","quinrose sequentialart fantasy alice in the country of hearts, vol. 01",1.8319999999999999
2305,"x/1999, volume 01: prelude","clamp sequentialart fantasy x/1999, volume 01: prelude",1.645
2306,"chrno crusade, vol. 1","daisukemoriyama sequentialart fantasy chrno crusade, vol. 1",1.6855
2307,"azumanga daioh, vol. 1","kiyohikoazuma sequentialart sequentialart azumanga daioh, vol. 1",1.9499999999999997
2308,"kare kano: his and her circumstances, vol. 1","masamitsuda sequentialart romance kare kano: his and her circumstances, vol. 1",1.6015000000000001
2309,"tokyo mew mew, vol. 1","miaikumi sequentialart fantasy tokyo mew mew, vol. 1",1.5505
2310,"bride of the water god, volume 1","mi-kyungyun sequentialart manga bride of the water god, volume 1",1.542
2311,"angel sanctuary, vol. 1","kaoriyuki sequentialart fantasy angel sanctuary, vol. 1",1.533
2312,"bakuman, band 1: traum und realität","tsugumiohba sequentialart sequentialart bakuman, band 1: traum und realität",1.8975
2313,"claymore, vol. 1: silver-eyed slayer","norihiroyagi sequentialart fantasy claymore, vol. 1: silver-eyed slayer",1.7635
2314,"neon genesis evangelion, vol. 1","yoshiyukisadamoto sequentialart sequentialart neon genesis evangelion, vol. 1",1.7904999999999998
2315,"tokyo ghoul, tome 1","suiishida sequentialart horror tokyo ghoul, tome 1",2.1135
2316,"la corda d'oro, volume 1","yukikure sequentialart romance la corda d'oro, volume 1",1.6225
2317,"hellsing, vol. 01","kohtahirano sequentialart horror hellsing, vol. 01",1.916
2318,"nodame cantabile, vol. 1","tomokoninomiya sequentialart romance nodame cantabile, vol. 1",1.8185
2319,"merupuri, vol. 1","matsurihino sequentialart fantasy merupuri, vol. 1",1.7624999999999997
2320,"black bird, vol. 1","kanokosakurakouji(桜小路かのこ) sequentialart romance black bird, vol. 1",1.7465
2321,"hikaru no go, vol. 1: descent of the go master","yumihotta sequentialart sequentialart hikaru no go, vol. 1: descent of the go master",1.749
2322,"pretty guardian sailor moon, vol. 1","naokotakeuchi sequentialart fantasy pretty guardian sailor moon, vol. 1",1.9635
2323,"paradise kiss, vol. 1","aiyazawa sequentialart romance paradise kiss, vol. 1",1.806
2324,"the gentlemen's alliance †, vol. 1","arinatanemura sequentialart romance the gentlemen's alliance †, vol. 1",1.6404999999999998
2325,"loveless, volume 1","yunkouga sequentialart fantasy loveless, volume 1",1.5565
2326,"boys over flowers: hana yori dango, vol. 1","yōkokamio sequentialart romance boys over flowers: hana yori dango, vol. 1",1.7454999999999998
2327,"kamisama kiss, vol. 1","juliettasuzuki sequentialart fantasy kamisama kiss, vol. 1",2.0695
2328,"berserk, vol. 1","kentaromiura sequentialart fantasy berserk, vol. 1",2.117
2329,"dengeki daisy, vol. 1","kyousukemotomi sequentialart romance dengeki daisy, vol. 1",1.9525000000000001
2330,"special a, vol. 1","makiminami sequentialart romance special a, vol. 1",1.8465
2331,"kitchen princess, vol. 01","natsumiandō sequentialart romance kitchen princess, vol. 01",1.8125
2332,"mars, vol. 1","fuyumisoryo sequentialart romance mars, vol. 1",1.7965
2333,"high school debut, vol. 01","kazunekawahara sequentialart romance high school debut, vol. 01",1.76
2334,"the wallflower, vol. 1","tomokohayakawa sequentialart romance the wallflower, vol. 1",1.7514999999999998
2335,"blue exorcist, vol. 1","kazuekato sequentialart fantasy blue exorcist, vol. 1",2.0465
2336,"love★com, vol. 1","ayanakahara sequentialart romance love★com, vol. 1",1.8965
2337,"dragon ball, vol. 1: the monkey king","akiratoriyama sequentialart sequentialart dragon ball, vol. 1: the monkey king",2.0745
2338,"nausicaä of the valley of the wind, vol. 1","hayaomiyazaki sequentialart sequentialart nausicaä of the valley of the wind, vol. 1",2.15
2339,"gakuen alice, vol. 01","tachibanahiguchi sequentialart fantasy gakuen alice, vol. 01",1.9425
2340,"d.n.angel, vol. 1","yukirusugisaki sequentialart fantasy d.n.angel, vol. 1",1.621
2341,"ranma ½, vol. 1 (ranma ½","rumikotakahashi sequentialart sequentialart ranma ½, vol. 1 (ranma ½",1.805
2342,"soul eater, vol. 01","atsushiohkubo sequentialart fantasy soul eater, vol. 01",1.9600000000000002
2343,"hana-kimi: for you in full blossom, vol. 1","hisayanakajo sequentialart romance hana-kimi: for you in full blossom, vol. 1",1.833
2344,"case closed, vol. 1","goshoaoyama sequentialart mystery case closed, vol. 1",1.9725000000000001
2345,maid-sama! vol. 01,hirofujiwara sequentialart romance maid-sama! vol. 01,2.105
2346,"attack on titan, vol. 1","hajimeisayama sequentialart sequentialart attack on titan, vol. 1",2.0965
2347,"d.gray-man, vol. 1","katsurahoshino sequentialart fantasy d.gray-man, vol. 1",1.9060000000000001
2348,"kimi ni todoke: from me to you, vol. 1","karuhoshiina sequentialart romance kimi ni todoke: from me to you, vol. 1",1.8915
2349,"fairy tail, vol. 1","hiromashima sequentialart fantasy fairy tail, vol. 1",2.0695
2350,"shugo chara!, vol. 1: who do you want to be?","peach-pit sequentialart romance shugo chara!, vol. 1: who do you want to be?",1.7624999999999997
2351,pandora hearts 1巻,junmochizuki fantasy sequentialart pandora hearts 1巻,1.939
2352,"rurouni kenshin, volume 01","nobuhirowatsuki sequentialart sequentialart rurouni kenshin, volume 01",1.9855
2353,one piece: romance dawn,eiichirooda sequentialart fantasy one piece: romance dawn,2.1195
2354,"skip beat!, vol. 01","yoshikinakamura sequentialart romance skip beat!, vol. 01",2.0060000000000002
2355,"black butler, vol. 1","yanatoboso sequentialart fantasy black butler, vol. 1",2.067
2356,"naruto, vol. 01: uzumaki naruto","masashikishimoto sequentialart fantasy naruto, vol. 01: uzumaki naruto",2.0465
2357,"bleach, volume 01","titekubo sequentialart fantasy bleach, volume 01",1.8735
2358,"fruits basket, vol. 1","natsukitakaya sequentialart fantasy fruits basket, vol. 1",1.9364999999999999
2359,vain,fisheramelie romance newadult vain,1.786
2360,the story of us,lesleyjones romance newadult the story of us,1.8755000000000002
2361,ruining me,nicolereed newadult romance ruining me,1.6590000000000003
2362,fighting redemption,katemccarthy romance newadult fighting redemption,1.8175
2363,bright side,kimholden romance newadult bright side,2.0355
2364,when it rains,lisadejong newadult romance when it rains,1.8199999999999998
2365,the art forger,b.a.shapiro mystery fiction the art forger,1.1935
2366,left neglected,lisagenova fiction contemporary left neglected,1.6575
2367,the chalice,nancybilyeau historical fiction the chalice,1.3995
2368,the aviator's wife,melaniebenjamin historical fiction the aviator's wife,1.3739999999999999
2369,the orchardist,amandacoplin fiction historical the orchardist,1.2945
2370,angels & demons,danbrown fiction mystery angels & demons,1.39
2371,major pettigrew's last stand,helensimonson fiction romance major pettigrew's last stand,1.419
2372,rules of civility,amortowles fiction historical rules of civility,1.715
2373,the shell seekers,rosamundepilcher fiction romance the shell seekers,1.714
2374,shadow of night,deborahharkness fantasy fiction shadow of night,1.6385
2375,life after life,kateatkinson fiction historical life after life,1.3045
2376,the comfort of lies,randysusanmeyers fiction womensfiction the comfort of lies,0.986
2377,a fostered love,camerondane romance romance a fostered love,1.3860000000000001
2378,double blind,heidicullinan romance erotica double blind,1.6055000000000001
2379,finding zach,rowanspeedwell romance romance finding zach,1.508
2380,conquest,s.j.frost romance contemporary conquest,1.586
2381,a bit of rough,laurabaumbach romance erotica a bit of rough,1.2029999999999998
