,book_title,text,numerical
93,dragon rider,corneliafunke fantasy fantasy dragon rider,1.4994999999999998
94,harry potter series box set,j.k.rowling fantasy youngadult harry potter series box set,2.3175
95,finger lickin' fifteen,janetevanovich mystery fiction finger lickin' fifteen,1.5699999999999998
96,school's out—forever,jamespatterson youngadult fantasy school's out—forever,1.658
97,the van alen legacy,melissadelacruz paranormal youngadult the van alen legacy,1.441
98,handle with care,jodipicoult fiction contemporary handle with care,1.5394999999999999
99,the friday night knitting club,katejacobs fiction womensfiction the friday night knitting club,0.867
100,running with scissors,augustenburroughs autobiography nonfiction running with scissors,1.2725
101,sarah's key,tatianaderosnay historical fiction sarah's key,1.697
102,the ultimate hitchhiker's guide to the galaxy,douglasadams sciencefiction fiction the ultimate hitchhiker's guide to the galaxy,1.9395000000000002
103,the joy luck club,amytan fiction historical the joy luck club,1.4605000000000001
104,the reader,bernhardschlink fiction historical the reader,1.247
105,wicked lovely,melissamarr fantasy youngadult wicked lovely,1.236
106,eldest,christopherpaolini fantasy youngadult eldest,1.5285
107,the road,cormacmccarthy fiction sciencefiction the road,1.5554999999999999
108,stargirl,jerryspinelli youngadult fiction stargirl,1.2934999999999999
109,tuesdays with morrie,mitchalbom nonfiction autobiography tuesdays with morrie,1.647
110,the lost symbol,danbrown fiction mystery the lost symbol,1.264
111,marked,p.c.cast youngadult paranormal marked,1.4115000000000002
112,blood promise,richellemead youngadult paranormal blood promise,1.959
113,three cups of tea: one man's mission to promote peace ... one school at a time,gregmortenson nonfiction autobiography three cups of tea: one man's mission to promote peace ... one school at a time,1.141
114,the pillars of the earth,kenfollett historical fiction the pillars of the earth,1.8809999999999998
115,the other boleyn girl,philippagregory historical fiction the other boleyn girl,1.552
116,pride and prejudice and zombies,sethgrahame-smith fiction horror pride and prejudice and zombies,0.8435
117,the memory keeper's daughter,kimedwards fiction contemporary the memory keeper's daughter,1.1424999999999998
118,pretties,scottwesterfeld youngadult sciencefiction pretties,1.3875
119,the madness of lord ian mackenzie,jenniferashley romance romance the madness of lord ian mackenzie,1.62
120,slave to sensation,nalinisingh romance fantasy slave to sensation,1.7624999999999997
121,the darkest night,genashowalter fantasy romance the darkest night,1.7185000000000001
122,pushing the limits,katiemcgarry youngadult romance pushing the limits,1.6785
123,this heart of mine,susanelizabethphillips romance romance this heart of mine,1.6724999999999999
124,bridget jones's diary,helenfielding womensfiction fiction bridget jones's diary,1.2545
125,practice makes perfect,juliejames romance romance practice makes perfect,1.5579999999999998
126,wait for you,j.lynn newadult romance wait for you,1.7335
127,the perfect play,jaciburton romance sportsandgames the perfect play,1.5125
128,lover eternal,j.r.ward romance fantasy lover eternal,1.976
129,forever mine,elizabethreyes romance youngadult forever mine,1.4845
130,rock chick,kristenashley romance romance rock chick,1.8659999999999999
131,fallen too far,abbiglines romance newadult fallen too far,1.787
132,playing for keeps,r.l.mathewson romance romance playing for keeps,1.6905000000000001
133,wallbanger,aliceclayton contemporary romance wallbanger,1.6675000000000002
134,bet me,jennifercrusie romance womensfiction bet me,1.4180000000000001
135,can you keep a secret?,sophiekinsella womensfiction romance can you keep a secret?,1.318
136,naked in death,j.d.robb mystery romance naked in death,1.8195
137,shatter me,taherehmafi youngadult sciencefiction shatter me,1.66
138,the bride,juliegarwood romance romance the bride,1.8090000000000002
139,the summer i turned pretty,jennyhan youngadult romance the summer i turned pretty,1.588
140,a kingdom of dreams,judithmcnaught romance romance a kingdom of dreams,1.825
141,matched,allycondie youngadult sciencefiction matched,1.151
142,flat-out love,jessicapark romance youngadult flat-out love,1.593
143,reason to breathe,rebeccadonovan romance youngadult reason to breathe,1.8735
144,the bronze horseman,paullinasimons historical romance the bronze horseman,1.8605
145,memoirs of a geisha,arthurgolden fiction historical memoirs of a geisha,1.698
146,hopeless,colleenhoover romance newadult hopeless,1.927
147,on the island,traceygarvisgraves romance contemporary on the island,1.7065
148,a walk to remember,nicholassparks romance fiction a walk to remember,1.7215
149,"hush, hush","beccafitzpatrick youngadult fantasy hush, hush",1.604
150,gabriel's inferno,sylvainreynard romance romance gabriel's inferno,1.6515
151,easy,tammarawebber romance newadult easy,1.6640000000000001
152,bared to you,sylviaday romance adultfiction bared to you,1.787
153,fifty shades of grey,e.l.james romance fiction fifty shades of grey,1.2225
154,icons,margaretstohl youngadult sciencefiction icons,1.087
155,prophecy,ellenoh fantasy youngadult prophecy,1.1065
156,unremembered,jessicabrody sciencefiction youngadult unremembered,1.276
157,between the devil and the deep blue sea,aprilgenevievetucholke youngadult fantasy between the devil and the deep blue sea,1.04
158,spellcaster,claudiagray youngadult fantasy spellcaster,1.242
159,crash,lisamcmann youngadult fantasy crash,1.3980000000000001
160,the chaos of stars,kierstenwhite fantasy youngadult the chaos of stars,1.2515
161,invisibility,andreacremer youngadult fantasy invisibility,1.212
162,spirit,brigidkemmerer youngadult fantasy spirit,1.6225
163,unbreakable,kamigarcia youngadult fantasy unbreakable,1.336
164,not a drop to drink,mindymcginnis youngadult sciencefiction not a drop to drink,1.4235000000000002
165,star cursed,jessicaspotswood historical fantasy star cursed,1.6214999999999997
166,elegy,tarahudson fantasy youngadult elegy,1.3935
167,altered,jenniferrush youngadult sciencefiction altered,1.597
168,the runaway king,jennifera.nielsen fantasy youngadult the runaway king,1.8455
169,the collector,victoriascott youngadult fantasy the collector,1.2235
170,paper valentine,brennayovanoff youngadult mystery paper valentine,1.229
171,dualed,elsiechapman sciencefiction youngadult dualed,1.0105
172,pivot point,kasiewest youngadult fantasy pivot point,1.6055000000000001
173,breaking point,kristensimmons sciencefiction youngadult breaking point,1.4849999999999999
174,this is what happy looks like,jennifere.smith youngadult romance this is what happy looks like,1.213
175,school spirits,rachelhawkins youngadult fantasy school spirits,1.532
176,the madness underneath,maureenjohnson youngadult fantasy the madness underneath,1.4409999999999998
177,unbreakable,elizabethnorris youngadult sciencefiction unbreakable,1.552
178,antigoddess,kendareblake fantasy youngadult antigoddess,1.3125
179,the coldest girl in coldtown,hollyblack youngadult fantasy the coldest girl in coldtown,1.4335
180,these broken stars,amiekaufman youngadult sciencefiction these broken stars,1.6535
181,of triton,annabanks fantasy youngadult of triton,1.5419999999999998
182,awaken,megcabot youngadult fantasy awaken,1.4180000000000001
183,sentinel,jenniferl.armentrout youngadult fantasy sentinel,2.0164999999999997
184,taken,erinbowman youngadult sciencefiction taken,1.3395000000000001
