,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
8478,matilda,marawilson dannydevito embethdavidtz rheaperlman pamferris,dannydevito,parentskidsrelationship difficultchildhood telekinesis childprodigy childhoodtrauma,comedy family fantasy,tt0117008,0.46499999999999997,marawilson dannydevito embethdavidtz rheaperlman pamferrisdannydevitocomedy family fantasyparentskidsrelationship difficultchildhood telekinesis childprodigy childhoodtrauma
8479,dragonheart,dennisquaid davidthewlis petepostlethwaite dinameyer juliechristie,robcohen,kingdom despot immortality village army,fantasy,tt0116136,0.194,dennisquaid davidthewlis petepostlethwaite dinameyer juliechristierobcohenfantasykingdom despot immortality village army
8484,the english patient,ralphfiennes juliettebinoche willemdafoe kristinscottthomas naveenandrews,anthonyminghella,cairo egypt identity amnesia worldwarii,drama romance war,tt0116209,0.5740000000000001,ralphfiennes juliettebinoche willemdafoe kristinscottthomas naveenandrewsanthonyminghelladrama romance warcairo egypt identity amnesia worldwarii
8487,ransom,melgibson garysinise delroylindo renerusso lilitaylor,ronhoward,bounty lossofchild yellowpress fbi baby-snatching,action thriller,tt0117438,0.28800000000000003,melgibson garysinise delroylindo renerusso lilitaylorronhowardaction thrillerbounty lossofchild yellowpress fbi baby-snatching
8490,sleepers,robertdeniro bradpitt kevinbacon jasonpatric roneldard,barrylevinson,childabuse sadistic sexualabuse pastor repayment,crime drama thriller,tt0117665,0.667,robertdeniro bradpitt kevinbacon jasonpatric roneldardbarrylevinsoncrime drama thrillerchildabuse sadistic sexualabuse pastor repayment
8491,the frighteners,michaelj.fox jeffreycombs jakebusey chimcbride trinialvarado,peterjackson,judge architect ghostworld hell grimreaper,horror comedy,tt0116365,0.3350000000000001,michaelj.fox jeffreycombs jakebusey chimcbride trinialvaradopeterjacksonhorror comedyjudge architect ghostworld hell grimreaper
8493,crash,jamesspader deborahkaraunger hollyhunter eliaskoteas rosannaarquette,davidcronenberg,gay sexualobsession adultery sadistic sexuality,drama thriller romance,tt0115964,0.28900000000000003,jamesspader deborahkaraunger hollyhunter eliaskoteas rosannaarquettedavidcronenbergdrama thriller romancegay sexualobsession adultery sadistic sexuality
8495,the people vs. larry flynt,woodyharrelson courtneylove edwardnorton brettharrelson donnahanover,miloå¡forman,poison pornography freelove aids eroticism,drama,tt0117318,0.32800000000000007,woodyharrelson courtneylove edwardnorton brettharrelson donnahanovermiloå¡formandramapoison pornography freelove aids eroticism
8497,bound,jennifertilly ginagershon joepantoliano johnp.ryan christophermeloni,lanawachowski lillywachowski,prison women'sprison suspense mafia lesbian,romance drama thriller crime,tt0115736,0.333,jennifertilly ginagershon joepantoliano johnp.ryan christophermelonilanawachowski lillywachowskiromance drama thriller crimeprison women'sprison suspense mafia lesbian
8498,swingers,jonfavreau vincevaughn ronlivingston patrickvanhorn alexdã©sert,dougliman,independentfilm stuffedanimal hollywood drink swinger,comedy romance,tt0117802,0.498,jonfavreau vincevaughn ronlivingston patrickvanhorn alexdã©sertdouglimancomedy romanceindependentfilm stuffedanimal hollywood drink swinger
8502,primal fear,richardgere edwardnorton lauralinney johnmahoney francesmcdormand,gregoryhoblit,corruption bishop courtcase pornographicvideo court,crime drama mystery thriller,tt0117381,0.687,richardgere edwardnorton lauralinney johnmahoney francesmcdormandgregoryhoblitcrime drama mystery thrillercorruption bishop courtcase pornographicvideo court
8504,courage under fire,denzelwashington megryan loudiamondphillips mattdamon michaelmoriarty,edwardzwick,gulfwar pilot usarmy praise rescuemission,drama thriller mystery war,tt0115956,0.181,denzelwashington megryan loudiamondphillips mattdamon michaelmoriartyedwardzwickdrama thriller mystery wargulfwar pilot usarmy praise rescuemission
8505,everyone says i love you,drewbarrymore divagray natashalyonne edwardnorton woodyallen,woodyallen,paris venice adultery robbery lovesickness,drama comedy romance,tt0116242,0.23800000000000002,drewbarrymore divagray natashalyonne edwardnorton woodyallenwoodyallendrama comedy romanceparis venice adultery robbery lovesickness
8506,that thing you do!,tomeverettscott johnathonschaech tomhanks stevezahn ethanembry,tomhanks,popstar musical recordlabel music musicband,comedy drama,tt0117887,0.46599999999999997,tomeverettscott johnathonschaech tomhanks stevezahn ethanembrytomhankscomedy dramapopstar musical recordlabel music musicband
8508,don't be a menace to south central while drinking your juice in the hood,shawnwayans marlonwayans traceycherellejones chrisspencer vivicaa.fox,parisbarclay,date slang hip-hop cousin parody,comedy,tt0116126,0.28600000000000003,shawnwayans marlonwayans traceycherellejones chrisspencer vivicaa.foxparisbarclaycomedydate slang hip-hop cousin parody
8512,the craft,fairuzabalk nevecampbell robintunney racheltrue skeetulrich,andrewfleming,witch suicideattempt becominganadult puberty sorcery,fantasy drama horror thriller,tt0115963,0.206,fairuzabalk nevecampbell robintunney racheltrue skeetulrichandrewflemingfantasy drama horror thrillerwitch suicideattempt becominganadult puberty sorcery
8517,kingpin,woodyharrelson randyquaid vanessaangel billmurray chriselliott,bobbyfarrelly peterfarrelly,sport handicap sexualfavor starspangledbanner bowlingteam,comedy,tt0116778,0.28300000000000003,woodyharrelson randyquaid vanessaangel billmurray chriselliottbobbyfarrelly peterfarrellycomedysport handicap sexualfavor starspangledbanner bowlingteam
8527,fear,markwahlberg reesewitherspoon williampetersen alyssamilano amybrenneman,jamesfoley,psychopath teenagegirl,drama thriller romance,tt0116287,0.199,markwahlberg reesewitherspoon williampetersen alyssamilano amybrennemanjamesfoleydrama thriller romancepsychopath teenagegirl
8532,basquiat,jeffreywright davidbowie dennishopper garyoldman beniciodeltoro,julianschnabel,newyork sex drugabuse homelessperson newlove,drama history,tt0115632,0.40700000000000003,jeffreywright davidbowie dennishopper garyoldman beniciodeltorojulianschnabeldrama historynewyork sex drugabuse homelessperson newlove
8543,beavis and butt-head do america,mikejudge brucewillis demimoore robertstack,mikejudge,washingtond.c. casino hotel sun television,animation comedy,tt0115641,0.193,mikejudge brucewillis demimoore robertstackmikejudgeanimation comedywashingtond.c. casino hotel sun television
8545,the crucible,danielday-lewis winonaryder paulscofield joanallen brucedavison,nicholashytner,witch massachusetts passion satan curse,drama history,tt0115988,0.22900000000000004,danielday-lewis winonaryder paulscofield joanallen brucedavisonnicholashytnerdrama historywitch massachusetts passion satan curse
8547,bottle rocket,lukewilson owenwilson lumicavazos andrewwilson robertmusgrave,wesanderson,brotherbrotherrelationship robbery burglar languagebarrier motel,comedy crime drama,tt0115734,0.403,lukewilson owenwilson lumicavazos andrewwilson robertmusgravewesandersoncomedy crime dramabrotherbrotherrelationship robbery burglar languagebarrier motel
8548,james and the giant peach,miriammargolyes joannalumley petepostlethwaite susansarandon richarddreyfuss,henryselick,basedonnovel garden lossofparents magicpotion aunt,adventure animation family,tt0116683,0.15100000000000002,miriammargolyes joannalumley petepostlethwaite susansarandon richarddreyfusshenryselickadventure animation familybasedonnovel garden lossofparents magicpotion aunt
8550,emma,gwynethpaltrow tonicollette alancumming ewanmcgregor jeremynortham,douglasmcgrath,basedonnovel makeamatch janeausten matchmaking,comedy drama romance,tt0116191,0.326,gwynethpaltrow tonicollette alancumming ewanmcgregor jeremynorthamdouglasmcgrathcomedy drama romancebasedonnovel makeamatch janeausten matchmaking
8551,the birdcage,robinwilliams genehackman nathanlane diannewiest grantheslov,mikenichols,gay travestie homophobia gaykiss comingout,comedy,tt0115685,0.509,robinwilliams genehackman nathanlane diannewiest grantheslovmikenicholscomedygay travestie homophobia gaykiss comingout
8554,the first wives club,bettemidler goldiehawn dianekeaton maggiesmith danhedaya,hughwilson,divorce divorcedwoman reunitedfriends,comedy,tt0116313,0.30900000000000005,bettemidler goldiehawn dianekeaton maggiesmith danhedayahughwilsoncomedydivorce divorcedwoman reunitedfriends
8557,sling blade,billybobthornton dwightyoakam j.t.walsh johnritter lucasblack,billybobthornton,independentfilm repairshop southern deaththreat story,drama,tt0117666,0.495,billybobthornton dwightyoakam j.t.walsh johnritter lucasblackbillybobthorntondramaindependentfilm repairshop southern deaththreat story
8559,marvin's room,dianekeaton merylstreep leonardodicaprio robertdeniro humecronyn,jerryzaks,sistersisterrelationship sister leukemia reunion cancer,drama,tt0116999,0.23700000000000004,dianekeaton merylstreep leonardodicaprio robertdeniro humecronynjerryzaksdramasistersisterrelationship sister leukemia reunion cancer
8564,homeward bound ii: lost in san francisco,michaelj.fox sallyfield ralphwaite roberthays kimgreist,davidr.ellis,nan,adventure comedy drama family,tt0116552,0.164,michaelj.fox sallyfield ralphwaite roberthays kimgreistdavidr.ellisadventure comedy drama familynan
8565,the ghost and the darkness,michaeldouglas valkilmer tomwilkinson johnkani emilymortimer,stephenhopkins,africa lion bridge basedontruestory kenya,adventure,tt0116409,0.244,michaeldouglas valkilmer tomwilkinson johnkani emilymortimerstephenhopkinsadventureafrica lion bridge basedontruestory kenya
8569,shine,geoffreyrush noahtaylor arminmueller-stahl justinbraine soniatodd,scotthicks,letter jumping childprodigy pool pianist,drama,tt0117631,0.567,geoffreyrush noahtaylor arminmueller-stahl justinbraine soniatoddscotthicksdramaletter jumping childprodigy pool pianist
8573,hamlet,kennethbranagh derekjacobi juliechristie richardbriers katewinslet,kennethbranagh,mother denmark lossoffather prince shakespeareadaptation,drama,tt0116477,0.402,kennethbranagh derekjacobi juliechristie richardbriers katewinsletkennethbranaghdramamother denmark lossoffather prince shakespeareadaptation
