,original_title,cast,director,keywords,genres,imdb_id,final_numeric_weights,text
0,jurassic world,chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinson,colintrevorrow,monster dna tyrannosaurusrex velociraptor island,action adventure sciencefiction thriller,tt0369610,1.768,chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinsoncolintrevorrowaction adventure sciencefiction thrillermonster dna tyrannosaurusrex velociraptor island
1,mad max: fury road,tomhardy charlizetheron hughkeays-byrne nicholashoult joshhelman,georgemiller,future chase post-apocalyptic dystopia australia,action adventure sciencefiction thriller,tt1392190,1.496,tomhardy charlizetheron hughkeays-byrne nicholashoult joshhelmangeorgemilleraction adventure sciencefiction thrillerfuture chase post-apocalyptic dystopia australia
2,insurgent,shailenewoodley theojames katewinslet anselelgort milesteller,robertschwentke,basedonnovel revolution dystopia sequel dystopicfuture,adventure sciencefiction thriller,tt2908446,0.684,shailenewoodley theojames katewinslet anselelgort milestellerrobertschwentkeadventure sciencefiction thrillerbasedonnovel revolution dystopia sequel dystopicfuture
3,star wars: the force awakens,harrisonford markhamill carriefisher adamdriver daisyridley,j.j.abrams,android spaceship jedi spaceopera 3d,action adventure sciencefiction fantasy,tt2488496,1.693,harrisonford markhamill carriefisher adamdriver daisyridleyj.j.abramsaction adventure sciencefiction fantasyandroid spaceship jedi spaceopera 3d
4,furious 7,vindiesel paulwalker jasonstatham michellerodriguez dwaynejohnson,jameswan,carrace speed revenge suspense car,action crime thriller,tt2820852,1.3679999999999999,vindiesel paulwalker jasonstatham michellerodriguez dwaynejohnsonjameswanaction crime thrillercarrace speed revenge suspense car
5,the revenant,leonardodicaprio tomhardy willpoulter domhnallgleeson paulanderson,alejandrogonzã¡leziã±ã¡rritu,father-sonrelationship rape basedonnovel mountains winter,western drama adventure thriller,tt1663202,1.008,leonardodicaprio tomhardy willpoulter domhnallgleeson paulandersonalejandrogonzã¡leziã±ã¡rrituwestern drama adventure thrillerfather-sonrelationship rape basedonnovel mountains winter
7,the martian,mattdamon jessicachastain kristenwiig jeffdaniels michaelpeã±a,ridleyscott,basedonnovel mars nasa isolation botanist,drama adventure sciencefiction,tt3659388,1.162,mattdamon jessicachastain kristenwiig jeffdaniels michaelpeã±aridleyscottdrama adventure sciencefictionbasedonnovel mars nasa isolation botanist
8,minions,sandrabullock jonhamm michaelkeaton allisonjanney stevecoogan,kylebalda pierrecoffin,assistant aftercreditsstinger duringcreditsstinger evilmastermind minions,family animation adventure comedy,tt2293640,0.897,sandrabullock jonhamm michaelkeaton allisonjanney stevecoogankylebalda pierrecoffinfamily animation adventure comedyassistant aftercreditsstinger duringcreditsstinger evilmastermind minions
9,inside out,amypoehler phyllissmith richardkind billhader lewisblack,petedocter,dream cartoon imaginaryfriend animation kid,comedy animation family,tt2096673,1.353,amypoehler phyllissmith richardkind billhader lewisblackpetedoctercomedy animation familydream cartoon imaginaryfriend animation kid
10,spectre,danielcraig christophwaltz lã©aseydoux ralphfiennes monicabellucci,sammendes,spy basedonnovel secretagent sequel jamesbond,action adventure crime,tt2379713,0.585,danielcraig christophwaltz lã©aseydoux ralphfiennes monicabelluccisammendesaction adventure crimespy basedonnovel secretagent sequel jamesbond
12,ex machina,domhnallgleeson aliciavikander oscarisaac sonoyamizuno coreyjohnson,alexgarland,dancing artificialintelligence helicopter distrust isolation,drama sciencefiction,tt0470752,0.9570000000000001,domhnallgleeson aliciavikander oscarisaac sonoyamizuno coreyjohnsonalexgarlanddrama sciencefictiondancing artificialintelligence helicopter distrust isolation
14,avengers: age of ultron,robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohansson,josswhedon,marvelcomic comic sequel superhero vision,action adventure sciencefiction,tt2395427,1.242,robertdowneyjr. chrishemsworth markruffalo chrisevans scarlettjohanssonjosswhedonaction adventure sciencefictionmarvelcomic comic sequel superhero vision
15,the hateful eight,samuell.jackson kurtrussell jenniferjasonleigh waltongoggins demiã¡nbichir,quentintarantino,bountyhunter wyoming mountains hangman voiceovernarration,crime drama mystery western,tt3460252,0.899,samuell.jackson kurtrussell jenniferjasonleigh waltongoggins demiã¡nbichirquentintarantinocrime drama mystery westernbountyhunter wyoming mountains hangman voiceovernarration
16,taken 3,liamneeson forestwhitaker maggiegrace famkejanssen dougrayscott,oliviermegaton,revenge murder ontherun fugitive framed,crime action thriller,tt2446042,0.40800000000000003,liamneeson forestwhitaker maggiegrace famkejanssen dougrayscottoliviermegatoncrime action thrillerrevenge murder ontherun fugitive framed
17,ant-man,paulrudd michaeldouglas evangelinelilly coreystoll bobbycannavale,peytonreed,marvelcomic superhero aftercreditsstinger duringcreditsstinger marvelcinematicuniverse,sciencefiction action adventure,tt0478970,0.8150000000000001,paulrudd michaeldouglas evangelinelilly coreystoll bobbycannavalepeytonreedsciencefiction action adventuremarvelcomic superhero aftercreditsstinger duringcreditsstinger marvelcinematicuniverse
18,cinderella,lilyjames cateblanchett richardmadden helenabonhamcarter hollidaygrainger,kennethbranagh,cinderella magic fairytale princess shoe,romance fantasy family drama,tt1661199,0.751,lilyjames cateblanchett richardmadden helenabonhamcarter hollidaygraingerkennethbranaghromance fantasy family dramacinderella magic fairytale princess shoe
19,the hunger games: mockingjay - part 2,jenniferlawrence joshhutcherson liamhemsworth woodyharrelson elizabethbanks,francislawrence,revolution strongwoman dystopia gameofdeath 3d,war adventure sciencefiction,tt1951266,0.639,jenniferlawrence joshhutcherson liamhemsworth woodyharrelson elizabethbanksfrancislawrencewar adventure sciencefictionrevolution strongwoman dystopia gameofdeath 3d
20,tomorrowland,brittrobertson georgeclooney raffeycassidy thomasrobinson hughlaurie,bradbird,inventor apocalypse destiny imax dreamer,action family sciencefiction adventure mystery,tt1964418,0.354,brittrobertson georgeclooney raffeycassidy thomasrobinson hughlauriebradbirdaction family sciencefiction adventure mysteryinventor apocalypse destiny imax dreamer
21,southpaw,jakegyllenhaal rachelmcadams forestwhitaker oonalaurence 50cent,antoinefuqua,sport,action drama,tt1798684,0.8230000000000001,jakegyllenhaal rachelmcadams forestwhitaker oonalaurence 50centantoinefuquaaction dramasport
22,san andreas,dwaynejohnson alexandradaddario carlagugino ioangruffudd archiepanjabi,bradpeyton,california earthquake catastrophe disasterfilm 3d,action drama thriller,tt2126355,0.41100000000000003,dwaynejohnson alexandradaddario carlagugino ioangruffudd archiepanjabibradpeytonaction drama thrillercalifornia earthquake catastrophe disasterfilm 3d
24,the big short,christianbale stevecarell ryangosling bradpitt melissaleo,adammckay,bank fraud biography wallstreet finances,comedy drama,tt1596363,0.817,christianbale stevecarell ryangosling bradpitt melissaleoadammckaycomedy dramabank fraud biography wallstreet finances
25,mission: impossible - rogue nation,tomcruise jeremyrenner simonpegg rebeccaferguson vingrhames,christophermcquarrie,spy sequel mission,action,tt2381249,0.875,tomcruise jeremyrenner simonpegg rebeccaferguson vingrhameschristophermcquarrieactionspy sequel mission
26,ted 2,markwahlberg sethmacfarlane amandaseyfried jessicabarth giovanniribisi,sethmacfarlane,spermbank sequel buddy courthouse teddybear,comedy,tt2637276,0.41100000000000003,markwahlberg sethmacfarlane amandaseyfried jessicabarth giovanniribisisethmacfarlanecomedyspermbank sequel buddy courthouse teddybear
27,kingsman: the secret service,taronegerton colinfirth samuell.jackson michaelcaine markstrong,matthewvaughn,spy greatbritain secretorganization secretagent marvelcomic,crime comedy action adventure,tt2802144,1.0110000000000001,taronegerton colinfirth samuell.jackson michaelcaine markstrongmatthewvaughncrime comedy action adventurespy greatbritain secretorganization secretagent marvelcomic
28,spotlight,markruffalo michaelkeaton rachelmcadams lievschreiber johnslattery,tommccarthy,childabuse journalism judge florida boston,drama thriller history,tt1895587,0.994,markruffalo michaelkeaton rachelmcadams lievschreiber johnslatterytommccarthydrama thriller historychildabuse journalism judge florida boston
29,maze runner: the scorch trials,dylano'brien kayascodelario thomasbrodie-sangster giancarloesposito aidangillen,wesball,basedonnovel resistance maze post-apocalyptic dystopia,action sciencefiction thriller,tt4046784,0.47,dylano'brien kayascodelario thomasbrodie-sangster giancarloesposito aidangillenwesballaction sciencefiction thrillerbasedonnovel resistance maze post-apocalyptic dystopia
30,mr. holmes,ianmckellen miloparker lauralinney hattiemorahan patrickkennedy,billcondon,london detective sherlockholmes,mystery drama,tt3168230,0.394,ianmckellen miloparker lauralinney hattiemorahan patrickkennedybillcondonmystery dramalondon detective sherlockholmes
31,chappie,sharltocopley devpatel ninja yolandivisser josepablocantillo,neillblomkamp,artificialintelligence android robot nearfuture robotcop,crime action sciencefiction,tt1823672,0.484,sharltocopley devpatel ninja yolandivisser josepablocantilloneillblomkampcrime action sciencefictionartificialintelligence android robot nearfuture robotcop
32,pitch perfect 2,annakendrick rebelwilson haileesteinfeld brittanysnow skylarastin,elizabethbanks,music sequel singer malefemalerelationship audition,comedy music,tt2848292,0.637,annakendrick rebelwilson haileesteinfeld brittanysnow skylarastinelizabethbankscomedy musicmusic sequel singer malefemalerelationship audition
33,bridge of spies,tomhanks markrylance amyryan alanalda sebastiankoch,stevenspielberg,spy cia coldwar pilot lawyer,thriller drama,tt3682448,0.709,tomhanks markrylance amyryan alanalda sebastiankochstevenspielbergthriller dramaspy cia coldwar pilot lawyer
34,goosebumps,jackblack dylanminnette odeyarush amyryan jillianbell,robletterman,basedonnovel magic fantasy family 3d,adventure horror comedy,tt1051904,0.323,jackblack dylanminnette odeyarush amyryan jillianbellroblettermanadventure horror comedybasedonnovel magic fantasy family 3d
35,room,brielarson jacobtremblay joanallen seanbridgers williamh.macy,lennyabrahamson,basedonnovel carpet isolation imprisonment grandparents,drama thriller,tt3170832,1.05,brielarson jacobtremblay joanallen seanbridgers williamh.macylennyabrahamsondrama thrillerbasedonnovel carpet isolation imprisonment grandparents
36,solace,abbiecornish jeffreydeanmorgan colinfarrell anthonyhopkins marleyshelton,afonsopoyart,thriller serialkiller psychic fbiagent intrigue,crime drama mystery,tt1291570,0.291,abbiecornish jeffreydeanmorgan colinfarrell anthonyhopkins marleysheltonafonsopoyartcrime drama mysterythriller serialkiller psychic fbiagent intrigue
37,the good dinosaur,raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padilla,petersohn,tyrannosaurusrex friends animation alternatehistory dinosaur,adventure animation comedy family fantasy,tt1979388,0.502,raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padillapetersohnadventure animation comedy family fantasytyrannosaurusrex friends animation alternatehistory dinosaur
38,run all night,liamneeson edharris joelkinnaman boydholbrook brucemcgill,jaumecollet-serra,hitman revenge murder ontherun mobster,action crime drama mystery thriller,tt2199571,0.32799999999999996,liamneeson edharris joelkinnaman boydholbrook brucemcgilljaumecollet-serraaction crime drama mystery thrillerhitman revenge murder ontherun mobster
39,brooklyn,saoirseronan domhnallgleeson emorycohen emilybettrickards eileeno'higgins,johncrowley,lovetriangle basedonnovel homesickness vororte ship,drama romance,tt2381111,0.755,saoirseronan domhnallgleeson emorycohen emilybettrickards eileeno'higginsjohncrowleydrama romancelovetriangle basedonnovel homesickness vororte ship
40,straight outta compton,o'sheajacksonjr. coreyhawkins jasonmitchell neilbrownjr. aldishodge,f.garygray,brotherbrotherrelationship aids policebrutality hip-hop wifehusbandrelationship,drama music,tt1398426,0.9630000000000001,o'sheajacksonjr. coreyhawkins jasonmitchell neilbrownjr. aldishodgef.garygraydrama musicbrotherbrotherrelationship aids policebrutality hip-hop wifehusbandrelationship
42,steve jobs,michaelfassbender katewinslet sethrogen katherinewaterston jeffdaniels,dannyboyle,biography computer basedontruestory fatherdaughterrelationship applecomputer,history drama,tt2080374,0.567,michaelfassbender katewinslet sethrogen katherinewaterston jeffdanielsdannyboylehistory dramabiography computer basedontruestory fatherdaughterrelationship applecomputer
43,the man from u.n.c.l.e.,henrycavill armiehammer aliciavikander elizabethdebicki lucacalvani,guyritchie,spy coldwar remake basedontvseries buddycop,comedy action adventure,tt1638355,0.619,henrycavill armiehammer aliciavikander elizabethdebicki lucacalvaniguyritchiecomedy action adventurespy coldwar remake basedontvseries buddycop
44,the age of adaline,blakelively michielhuisman harrisonford ellenburstyn kathybaker,leetolandkrieger,sanfrancisco immortality love forever,fantasy drama romance,tt1655441,0.738,blakelively michielhuisman harrisonford ellenburstyn kathybakerleetolandkriegerfantasy drama romancesanfrancisco immortality love forever
46,home,jimparsons rihanna stevemartin jenniferlopez mattjones,timjohnson,friendship spaceship space alien alieninvasion,fantasy comedy animation sciencefiction family,tt2224026,0.642,jimparsons rihanna stevemartin jenniferlopez mattjonestimjohnsonfantasy comedy animation sciencefiction familyfriendship spaceship space alien alieninvasion
47,paper towns,natwolff caradelevingne halstonsage justicesmith austinabrams,jakeschreier,friendship highschool teen classmate basedonyoungadultbook,drama mystery romance,tt3622592,0.29700000000000004,natwolff caradelevingne halstonsage justicesmith austinabramsjakeschreierdrama mystery romancefriendship highschool teen classmate basedonyoungadultbook
49,the lobster,colinfarrell rachelweisz lã©aseydoux johnc.reilly benwhishaw,yorgoslanthimos,dystopia,thriller comedy drama romance sciencefiction,tt3464902,0.43699999999999994,colinfarrell rachelweisz lã©aseydoux johnc.reilly benwhishawyorgoslanthimosthriller comedy drama romance sciencefictiondystopia
50,carol,cateblanchett rooneymara kylechandler sarahpaulson jakelacy,toddhaynes,gay newyork femalenudity chicago sex,romance drama,tt2402927,0.6539999999999999,cateblanchett rooneymara kylechandler sarahpaulson jakelacytoddhaynesromance dramagay newyork femalenudity chicago sex
51,the intern,robertdeniro annehathaway renerusso andersholm jojokushner,nancymeyers,intern womandirector,comedy,tt2361509,0.696,robertdeniro annehathaway renerusso andersholm jojokushnernancymeyerscomedyintern womandirector
52,everest,jasonclarke jakegyllenhaal joshbrolin johnhawkes samworthington,baltasarkormã¡kur,mountains snowstorm hiking snow death,adventure drama,tt2719848,0.525,jasonclarke jakegyllenhaal joshbrolin johnhawkes samworthingtonbaltasarkormã¡kuradventure dramamountains snowstorm hiking snow death
53,joy,jenniferlawrence bradleycooper robertdeniro daschapolanco edgarramã­rez,davido.russell,biography,comedy drama,tt2446980,0.36400000000000005,jenniferlawrence bradleycooper robertdeniro daschapolanco edgarramã­rezdavido.russellcomedy dramabiography
55,burnt,bradleycooper siennamiller lilyjames aliciavikander umathurman,johnwells,london cook restaurant diva career,drama,tt2503944,0.307,bradleycooper siennamiller lilyjames aliciavikander umathurmanjohnwellsdramalondon cook restaurant diva career
56,self/less,ryanreynolds benkingsley nataliemartinez matthewgoode michelledockery,tarsemsingh,lie immortality terminalillness laboratory cancer,sciencefiction mystery thriller,tt2140379,0.261,ryanreynolds benkingsley nataliemartinez matthewgoode michelledockerytarsemsinghsciencefiction mystery thrillerlie immortality terminalillness laboratory cancer
58,the danish girl,eddieredmayne aliciavikander matthiasschoenaerts amberheard benwhishaw,tomhooper,paris denmark copenhagen artist art,drama,tt0810819,0.735,eddieredmayne aliciavikander matthiasschoenaerts amberheard benwhishawtomhooperdramaparis denmark copenhagen artist art
60,sicario,emilyblunt beniciodeltoro joshbrolin victorgarber jonbernthal,denisvilleneuve,mexico cia smoking texas fbi,action crime drama mystery thriller,tt3397884,0.6499999999999999,emilyblunt beniciodeltoro joshbrolin victorgarber jonbernthaldenisvilleneuveaction crime drama mystery thrillermexico cia smoking texas fbi
63,spy,melissamccarthy jasonstatham rosebyrne mirandahart bobbycannavale,paulfeig,spy cia undercover armsdealer disaster,action comedy crime,tt3079380,0.604,melissamccarthy jasonstatham rosebyrne mirandahart bobbycannavalepaulfeigaction comedy crimespy cia undercover armsdealer disaster
64,focus,willsmith margotrobbie rodrigosantoro roberttaylor geraldmcraney,glennficarra johnrequa,seduction conman femmefatale deception conartist,romance comedy crime drama,tt2381941,0.498,willsmith margotrobbie rodrigosantoro roberttaylor geraldmcraneyglennficarra johnrequaromance comedy crime dramaseduction conman femmefatale deception conartist
66,in the heart of the sea,chrishemsworth benjaminwalker cillianmurphy brendangleeson benwhishaw,ronhoward,suicide ocean sea hunger shipwreck,thriller drama adventure action history,tt1390411,0.334,chrishemsworth benjaminwalker cillianmurphy brendangleeson benwhishawronhowardthriller drama adventure action historysuicide ocean sea hunger shipwreck
68,creed,michaelb.jordan sylvesterstallone grahammctavish tessathompson phyliciarashäd,ryancoogler,underdog sport spinoff undergroundfighting motivationalspeaker,drama,tt3076658,0.746,michaelb.jordan sylvesterstallone grahammctavish tessathompson phyliciarashädryancooglerdramaunderdog sport spinoff undergroundfighting motivationalspeaker
69,trainwreck,amyschumer billhader brielarson colinquinn vanessabayer,juddapatow,alcohol one-nightstand,comedy,tt3152624,0.246,amyschumer billhader brielarson colinquinn vanessabayerjuddapatowcomedyalcohol one-nightstand
70,eye in the sky,helenmirren aaronpaul alanrickman iainglen barkhadabdi,gavinhood,terrorist drone u.s.military airforcebase combatdrone,drama thriller war,tt2057392,0.675,helenmirren aaronpaul alanrickman iainglen barkhadabdigavinhooddrama thriller warterrorist drone u.s.military airforcebase combatdrone
71,legend,tomhardy emilybrowning christophereccleston davidthewlis taronegerton,brianhelgeland,biography basedontruestory gangster twins,crime thriller,tt3569230,0.465,tomhardy emilybrowning christophereccleston davidthewlis taronegertonbrianhelgelandcrime thrillerbiography basedontruestory gangster twins
75,me and earl and the dying girl,thomasmann rjcyler oliviacooke conniebritton nickofferman,alfonsogomez-rejon,tattoo highschool leukemia friends parody,comedy drama,tt2582496,0.8720000000000001,thomasmann rjcyler oliviacooke conniebritton nickoffermanalfonsogomez-rejoncomedy dramatattoo highschool leukemia friends parody
76,the peanuts movie,noahschnapp billmelendez venusschultheis hadleybellemiller madisynshipman,stevemartino,basedoncomicstrip family 3d charliebrown snoopy,adventure animation comedy family,tt2452042,0.38,noahschnapp billmelendez venusschultheis hadleybellemiller madisynshipmanstevemartinoadventure animation comedy familybasedoncomicstrip family 3d charliebrown snoopy
77,concussion,willsmith bitsietulloch gugumbatha-raw alecbaldwin matthewwillig,peterlandesman,americanfootball biography professionalsports sportsinjury nfl,drama,tt3322364,0.542,willsmith bitsietulloch gugumbatha-raw alecbaldwin matthewwilligpeterlandesmandramaamericanfootball biography professionalsports sportsinjury nfl
78,the night before,josephgordon-levitt sethrogen anthonymackie lizzycaplan jillianbell,jonathanlevine,malefriendship newyorkcity drug christmaseve childhoodfriend,comedy,tt3530002,0.213,josephgordon-levitt sethrogen anthonymackie lizzycaplan jillianbelljonathanlevinecomedymalefriendship newyorkcity drug christmaseve childhoodfriend
80,the longest ride,scotteastwood brittrobertson lolitadavidovich melissabenoist jackhuston,"georgetillman,jr.",basedonnovel artstudent cowboys injury bullriding,romance drama,tt2726560,0.7130000000000001,"scotteastwood brittrobertson lolitadavidovich melissabenoist jackhustongeorgetillman,jr.romance dramabasedonnovel artstudent cowboys injury bullriding"
81,hotel transylvania 2,adamsandler andysamberg selenagomez kevinjames stevebuscemi,genndytartakovsky,transylvania hotel witch technology magic,animation comedy family,tt2510894,0.6240000000000001,adamsandler andysamberg selenagomez kevinjames stevebuscemigenndytartakovskyanimation comedy familytransylvania hotel witch technology magic
83,the walk,josephgordon-levitt benkingsley charlottelebon benschwartz jamesbadgedale,robertzemeckis,1970s skyscraper basedontruestory tightrope planning,adventure drama thriller,tt3488710,0.5029999999999999,josephgordon-levitt benkingsley charlottelebon benschwartz jamesbadgedalerobertzemeckisadventure drama thriller1970s skyscraper basedontruestory tightrope planning
85,vacation,edhelms christinaapplegate skylergisondo steelestebbins chrishemsworth,johnfrancisdaley jonathanm.goldstein,route66 grandcanyon cow vacation roadtrip,adventure comedy,tt1524930,0.226,edhelms christinaapplegate skylergisondo steelestebbins chrishemsworthjohnfrancisdaley jonathanm.goldsteinadventure comedyroute66 grandcanyon cow vacation roadtrip
90,the gift,jasonbateman rebeccahall joeledgerton daviddenman beauknapp,joeledgerton,detective stalker gift bully psychologicalthriller,thriller mystery,tt4178092,0.424,jasonbateman rebeccahall joeledgerton daviddenman beauknappjoeledgertonthriller mysterydetective stalker gift bully psychologicalthriller
94,the little prince,jeffbridges rachelmcadams paulrudd marioncotillard jamesfranco,markosborne,philosophy utopia airplane adventure dystopia,adventure animation fantasy,tt1754656,0.791,jeffbridges rachelmcadams paulrudd marioncotillard jamesfrancomarkosborneadventure animation fantasyphilosophy utopia airplane adventure dystopia
96,the dressmaker,katewinslet liamhemsworth carolinegoodall judydavis hayleymagnus,jocelynmoorhouse,basedonnovel australia dressmaker hometown womandirector,drama,tt2910904,0.53,katewinslet liamhemsworth carolinegoodall judydavis hayleymagnusjocelynmoorhousedramabasedonnovel australia dressmaker hometown womandirector
97,the duff,maewhitman robbieamell bellathorne biancaa.santos skylersamuels,arisandel,highschool teenager popularity highschoolsenior teencomedy,romance comedy,tt1666801,0.49699999999999994,maewhitman robbieamell bellathorne biancaa.santos skylersamuelsarisandelromance comedyhighschool teenager popularity highschoolsenior teencomedy
100,frozen fever,kristenbell idinamenzel jonathangroff joshgad chriswilliams,chrisbuck jenniferlee,sistersisterrelationship birthday song birthdayparty flu,adventure animation family,tt4007502,0.5670000000000001,kristenbell idinamenzel jonathangroff joshgad chriswilliamschrisbuck jenniferleeadventure animation familysistersisterrelationship birthday song birthdayparty flu
104,entourage,jeremypiven adriangrenier jerryferrara kevinconnolly kevindillon,dougellin,friendship hollywood moviestar entourage,comedy,tt1674771,0.23399999999999999,jeremypiven adriangrenier jerryferrara kevinconnolly kevindillondougellincomedyfriendship hollywood moviestar entourage
105,the wedding ringer,kevinhart joshgad kaleycuoco affioncrockett jorgegarcia,jeremygarelick,malefriendship impersonator wedding lying bestman,comedy,tt0884732,0.372,kevinhart joshgad kaleycuoco affioncrockett jorgegarciajeremygarelickcomedymalefriendship impersonator wedding lying bestman
106,scouts guide to the zombie apocalypse,tyesheridan loganmiller joeymorgan sarahdumont davidkoechner,christopherb.landon,femalenudity shotgun nudity stripclub party,comedy horror,tt1727776,0.22700000000000004,tyesheridan loganmiller joeymorgan sarahdumont davidkoechnerchristopherb.landoncomedy horrorfemalenudity shotgun nudity stripclub party
108,black mass,johnnydepp joeledgerton benedictcumberbatch dakotajohnson kevinbacon,scottcooper,boston basedontruestory organizedcrime,crime drama,tt1355683,0.284,johnnydepp joeledgerton benedictcumberbatch dakotajohnson kevinbaconscottcoopercrime dramaboston basedontruestory organizedcrime
112,no escape,owenwilson lakebell piercebrosnan sterlingjerins spencergarrett,johnerickdowdle,coup american family foreign,action thriller,tt1781922,0.45,owenwilson lakebell piercebrosnan sterlingjerins spencergarrettjohnerickdowdleaction thrillercoup american family foreign
113,dope,shameikmoore kierseyclemons tonyrevolori zoã«kravitz chaneliman,rickfamuyiwa,california hip-hop harvarduniversity geek comingofage,crime drama comedy,tt3850214,0.6890000000000001,shameikmoore kierseyclemons tonyrevolori zoã«kravitz chanelimanrickfamuyiwacrime drama comedycalifornia hip-hop harvarduniversity geek comingofage
115,woman in gold,helenmirren ryanreynolds tatianamaslany katieholmes maxirons,simoncurtis,nazis art stolenpainting,drama,tt2404425,0.6990000000000001,helenmirren ryanreynolds tatianamaslany katieholmes maxironssimoncurtisdramanazis art stolenpainting
118,project almanac,jonnyweston virginiagardner sofiablack-d'elia samlerner allenevangelista,deanisraelite,timetravel timemachine teenager foundfootage,sciencefiction thriller,tt2436386,0.27099999999999996,jonnyweston virginiagardner sofiablack-d'elia samlerner allenevangelistadeanisraelitesciencefiction thrillertimetravel timemachine teenager foundfootage
121,crimson peak,miawasikowska jessicachastain tomhiddleston charliehunnam jimbeaver,guillermodeltoro,hauntedhouse mining murder spittingblood gothic,mystery thriller fantasy horror drama,tt2554274,0.313,miawasikowska jessicachastain tomhiddleston charliehunnam jimbeaverguillermodeltoromystery thriller fantasy horror dramahauntedhouse mining murder spittingblood gothic
123,magic mike xxl,channingtatum mattbomer joemanganiello kevinnash adamrodrã­guez,gregoryjacobs,malefriendship stripclub roadtrip striptease strip,comedy drama music,tt2268016,0.3,channingtatum mattbomer joemanganiello kevinnash adamrodrã­guezgregoryjacobscomedy drama musicmalefriendship stripclub roadtrip striptease strip
125,slow west,michaelfassbender kodismit-mcphee benmendelsohn carenpistorius rorymccann,johnmaclean,fire bountyhunter shotgun horsebackriding horse,romance thriller western,tt3205376,0.38799999999999996,michaelfassbender kodismit-mcphee benmendelsohn carenpistorius rorymccannjohnmacleanromance thriller westernfire bountyhunter shotgun horsebackriding horse
126,trumbo,bryancranston dianelane helenmirren ellefanning louisc.k.,jayroach,screenwriter communist biography filmhistory hollywood,drama,tt3203606,0.6360000000000001,bryancranston dianelane helenmirren ellefanning louisc.k.jayroachdramascreenwriter communist biography filmhistory hollywood
127,secret in their eyes,chiwetelejiofor nicolekidman juliaroberts deannorris lyndonsmith,billyray,fbi missingchild,crime drama mystery,tt1741273,0.226,chiwetelejiofor nicolekidman juliaroberts deannorris lyndonsmithbillyraycrime drama mysteryfbi missingchild
128,mistress america,gretagerwig lolakirke charliegillette deanwareham heatherlind,noahbaumbach,comedy,comedy,tt2872462,0.305,gretagerwig lolakirke charliegillette deanwareham heatherlindnoahbaumbachcomedycomedy
131,max,thomashadenchurch joshwiggins laurengraham robbieamell miaxitlali,boazyakin,afghanistan war basedontruestory rescue betrayal,adventure drama family,tt3369806,0.562,thomashadenchurch joshwiggins laurengraham robbieamell miaxitlaliboazyakinadventure drama familyafghanistan war basedontruestory rescue betrayal
132,shaun the sheep movie,justinfletcher omiddjalili richardwebber kateharbour timhands,markburton richardstarzack,countryside sheep basedontvseries memoryloss hospital,family animation comedy adventure,tt2872750,0.531,justinfletcher omiddjalili richardwebber kateharbour timhandsmarkburton richardstarzackfamily animation comedy adventurecountryside sheep basedontvseries memoryloss hospital
134,a perfect day,olgakurylenko beniciodeltoro timrobbins mã©laniethierry fedjastukan,fernandoleã³ndearanoa,roadmovie,comedy drama,tt3577624,0.261,olgakurylenko beniciodeltoro timrobbins mã©laniethierry fedjastukanfernandoleã³ndearanoacomedy dramaroadmovie
138,insidious: chapter 3,dermotmulroney stefaniescott linshaye leighwhannell angussampson,leighwhannell,sequel,drama horror thriller,tt3195644,0.29000000000000004,dermotmulroney stefaniescott linshaye leighwhannell angussampsonleighwhannelldrama horror thrillersequel
144,anomalisa,jenniferjasonleigh davidthewlis tomnoonan,dukejohnson charliekaufman,sex depression existentialism,animation comedy drama romance,tt2401878,0.42200000000000004,jenniferjasonleigh davidthewlis tomnoonandukejohnson charliekaufmananimation comedy drama romancesex depression existentialism
145,bone tomahawk,kurtrussell richardjenkins matthewfox lilisimmons seanyoung,s.craigzahler,poison prisoner murder rifle gore,horror western adventure drama,tt2494362,0.255,kurtrussell richardjenkins matthewfox lilisimmons seanyoungs.craigzahlerhorror western adventure dramapoison prisoner murder rifle gore
147,pawn sacrifice,tobeymaguire lilyrabe petersarsgaard lievschreiber sophienã©lisse,edwardzwick,chess coldwar russia biography victory,drama,tt1596345,0.38,tobeymaguire lilyrabe petersarsgaard lievschreiber sophienã©lisseedwardzwickdramachess coldwar russia biography victory
148,the man who knew infinity,jeremyirons devpatel tobyjones stephenfry jeremynortham,mattbrown,england indian mathematician biography cambridge,drama,tt0787524,0.593,jeremyirons devpatel tobyjones stephenfry jeremynorthammattbrowndramaengland indian mathematician biography cambridge
150,the diary of a teenage girl,belpowley kristenwiig alexanderskarsgã¥rd christophermeloni margaritalevieva,marielleheller,1970s teenagegirl oldermanyoungerwomanrelationship basedongraphicnovel teenagesexuality,drama romance,tt3172532,0.46299999999999997,belpowley kristenwiig alexanderskarsgã¥rd christophermeloni margaritalevievamariellehellerdrama romance1970s teenagegirl oldermanyoungerwomanrelationship basedongraphicnovel teenagesexuality
